year,epoch,status,doc_count,upstream_complete_count,extract_success_count,structured_success_count,embedding_success_count,metrics_success_count,processed_present_count,structured_present_count,embedding_present_count
2000,2000-2004,covered,44,43,43,43,44,43,43,43,44
2001,2000-2004,covered,29,29,29,29,29,29,29,29,29
2002,2000-2004,covered,29,29,29,29,29,29,29,29,29
2003,2000-2004,covered,33,33,33,33,33,33,33,33,33
2004,2000-2004,covered,35,35,35,35,35,35,35,35,35
2005,2005-2009,covered,34,34,34,34,34,34,34,34,34
2006,2005-2009,covered,43,43,43,43,43,43,43,43,43
2007,2005-2009,covered,45,45,45,45,45,45,45,45,45
2008,2005-2009,covered,43,43,43,43,43,43,43,43,43
2009,2005-2009,covered,43,43,43,43,43,43,43,43,43
2010,2010-2014,covered,49,49,49,49,49,49,49,49,49
2011,2010-2014,covered,59,59,59,59,59,59,59,59,59
2012,2010-2014,covered,54,54,54,54,54,54,54,54,54
2013,2010-2014,covered,66,66,66,66,66,66,66,66,66
2014,2010-2014,covered,71,71,71,71,71,71,71,71,71
2015,2015-2019,covered,60,60,60,60,60,60,60,60,60
2016,2015-2019,covered,58,58,58,58,58,58,58,58,58
2017,2015-2019,covered,79,79,79,79,79,79,79,79,79
2018,2015-2019,covered,80,80,80,80,80,80,80,80,80
2019,2015-2019,covered,152,152,152,152,152,152,152,152,152
2020,2020-2024,covered,83,83,83,83,83,83,83,83,83
2021,2020-2024,covered,72,72,72,72,72,72,72,72,72
2022,2020-2024,covered,63,63,63,63,63,63,63,63,63
2023,2020-2024,covered,56,56,56,56,56,56,56,56,56
2024,2020-2024,covered,90,90,90,90,90,90,90,90,90
2025,2025-2029,covered,134,134,134,134,134,134,134,134,134
2026,2025-2029,covered,40,39,39,39,39,39,39,39,39
