epoch_index,route,epoch_label,year_start,year_end,n_documents,sigma_sem,V_innov,x,y,reduction_method,random_seed,route_boundary_after_epoch
1,Route_B_Legacy,1960-1964,1960,1964,86,0.13524781167507172,,-0.3458962302540498,0.10988354134468774,PCA,42,False
2,Route_B_Legacy,1965-1969,1965,1969,63,0.15794526040554047,0.00969010149979277,-0.2807538455868043,0.09141693527405143,PCA,42,False
3,Route_B_Legacy,1970-1974,1970,1974,71,0.1651913970708847,0.010291813727489107,-0.23830860434158985,0.04507054954472597,PCA,42,False
4,Route_B_Legacy,1975-1979,1975,1979,76,0.14618204534053802,0.013770321237769112,-0.3204422655111961,0.01298282497572673,PCA,42,False
5,Route_B_Legacy,1980-1984,1980,1984,134,0.15337388217449188,0.016783870544869295,-0.21324133897890146,-0.05408419776183111,PCA,42,False
6,Route_B_Legacy,1985-1989,1985,1989,169,0.1697399914264679,0.009860148008705938,-0.1859413551703985,-0.10124309156309741,PCA,42,False
7,Route_B_Legacy,1990-1994,1990,1994,204,0.16983410716056824,0.008750369704652483,-0.18732902352656025,-0.11352890051503509,PCA,42,False
8,Route_B_Legacy,1995-1999,1995,1999,158,0.11365010589361191,0.07347771277739801,0.11246125085882037,-0.09225124745447999,PCA,42,True
9,Route_A_Modern,2000-2004,2000,2004,170,0.10114394873380661,0.010823362919546775,0.21463715653195772,-0.03840964838951885,PCA,42,False
10,Route_A_Modern,2005-2009,2005,2009,208,0.09599142521619797,0.0026107700663982047,0.24396007288576507,-0.021147819260518418,PCA,42,False
11,Route_A_Modern,2010-2014,2010,2014,299,0.079790860414505,0.0031270482832296276,0.26717835664323825,-0.004873210639775666,PCA,42,False
12,Route_A_Modern,2015-2019,2015,2019,429,0.07479400932788849,0.004749556442388725,0.3011445091409782,0.037261808030200246,PCA,42,False
13,Route_A_Modern,2020-2024,2020,2024,364,0.07265394926071167,0.0014730216667401264,0.31372542157613065,0.05766740641449058,PCA,42,False
14,Route_A_Modern,2025-2029,2025,2029,157,0.06697557121515274,0.001660715018586778,0.31880589573260965,0.07125505000037397,PCA,42,False
