doc_id,source_pdf_path,source_filename,route,year,extract_status,structured_status,embedding_status,metrics_status,extract_method,page_count,error_message,last_stage_run,artifact_version,updated_at
jae_90944b221a70,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2026.pdf,2026.pdf,Route_A_Modern,2026,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T18:03:39.098527+00:00
jae_3f941230dae5,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2005_A-Comparison-Of-National-Leaders-Strategic-Thinking-To-The-Strategic-Intentions-Of-The-Agricultural-Education-Profession.pdf,2005_A-Comparison-Of-National-Leaders-Strategic-Thinking-To-The-Strategic-Intentions-Of-The-Agricultural-Education-Profession.pdf,Route_A_Modern,2005,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T18:03:39.131560+00:00
jae_8af86a47d39e,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2005_Critical-Thinking-Skills-Of-Selected-Youth-Leaders-The-Efficacy-Of-Critical-Thinking-Dispositions-Leadership-And-Academic-Performance.pdf,2005_Critical-Thinking-Skills-Of-Selected-Youth-Leaders-The-Efficacy-Of-Critical-Thinking-Dispositions-Leadership-And-Academic-Performance.pdf,Route_A_Modern,2005,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T18:03:39.160913+00:00
jae_15b5f43c9169,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2005_Economic-Impact-Of-Supervised-Agricultural-Experience-In-Iowa-A-Trend-Study.pdf,2005_Economic-Impact-Of-Supervised-Agricultural-Experience-In-Iowa-A-Trend-Study.pdf,Route_A_Modern,2005,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T18:03:39.187835+00:00
jae_556043944b43,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2005_Extension-Leaders-Self-Evaluation-Of-Leadership-Skill-Areas.pdf,2005_Extension-Leaders-Self-Evaluation-Of-Leadership-Skill-Areas.pdf,Route_A_Modern,2005,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T18:03:39.212656+00:00
jae_5f018fc12e74,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2005_Learning-For-Life.pdf,2005_Learning-For-Life.pdf,Route_A_Modern,2005,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T18:03:39.237451+00:00
jae_922ade160062,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2005_Mentoring-First-Year-Agricultural-Educators-Examining-A-State-Mandated-Induction-Program.pdf,2005_Mentoring-First-Year-Agricultural-Educators-Examining-A-State-Mandated-Induction-Program.pdf,Route_A_Modern,2005,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T18:03:39.257251+00:00
jae_47b7cf72b4e4,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2005_National-FFA-Officer-Candidate-Preparation-Developing-Future-Leaders-For-Society.pdf,2005_National-FFA-Officer-Candidate-Preparation-Developing-Future-Leaders-For-Society.pdf,Route_A_Modern,2005,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T18:03:39.276953+00:00
jae_c89a326e4b14,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2005_Unethical-Practices-Observed-At-Youth-Livestock-Exhibitions-By-Ohio-Secondary-Agricultural-Educators.pdf,2005_Unethical-Practices-Observed-At-Youth-Livestock-Exhibitions-By-Ohio-Secondary-Agricultural-Educators.pdf,Route_A_Modern,2005,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T18:03:39.296586+00:00
jae_8f9d05936623,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2000/10.5032_jae.2000.02036.pdf,10.5032_jae.2000.02036.pdf,Route_A_Modern,2000,pending,success,pending,success,,,,metrics_status,1.0,2026-03-31T18:03:39.317145+00:00
