doc_id,source_filename,year,epoch,route,extract_status,structured_status,embedding_status,metrics_status,processed_present,structured_present,embedding_present,upstream_complete
jae_8f9d05936623,10.5032_jae.2000.02036.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_5b725f6dee32,2000_A-COMPARISON-OF-STAKEHOLDER-CHOICES-OF-FARM-SAFETY-TRAINING-TOPICS-FOR-UTAH-YOUTH.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_6885a75651a7,2000_A-DESCRIPTION-OF-THE-NATURE-AND-IMPACT-OF-TEACHING-EVENTS-AND-FORMS-OF-BEGINNING-TEACHER-ASSISTANCE-AS-EXPERIENCED-BY-MINNESOTA-AGRICULTURAL-EDUCATION-TEACHERS.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_b9a843498e07,2000_A-LONGITUDINAL-MEASURE-OF-THE-PERCEPTUAL-IMPACT-OF-A-CULTURAL-DIVERSITY-TEACHING-PRACTICUM-ON-THE-INTERPERSONAL-COMPETENCY-OF-STUDENT-TEACHERS.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_d4c986f165f3,2000_A-QUALITATIVE-STUDY-OF-URBAN-AND-SUBURBAN-ELEMENTARY-STUDENT-UNDERSTANDINGS-OF-PEST-RELATED-SCIENCE-AND-AGRICULTURAL-EDUCATION-BENCHMARKS.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_b5d844cd8cbe,2000_A-TELECOMMUNICATIONS-NETWORK-FOR-DISTANCE-LEARNING-IF-IT-S-BUILT-WILL-AGRICULTURE-TEACHERS-USE-IT-.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_6b995d08033e,2000_AGRIBUSINESS-STANDARDS-A-COMPARISON-OF-THE-CHOICES-OF-UTAH-AGRISCIENCE-AND-TECHNOLOGY-TEACHERS-AND-AGRIBUSINESS-REPRESENTATIVES.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_a12c9415396b,2000_AGRICULTURAL-AWARENESS-ACTIVITIES-AND-THEIR-INTEGRATION-INTO-THE-CURRICULUM-AS-PERCElVED-BY-ELEMENTARY-TEACHERS.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_d73c9406cd27,2000_AGRICULTURE-AND-SCIENCE-INTEGRATION-A-PRE-SERVICE-PRESCRIPTION-FOR-CONTEXTUAL-LEARNING.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_b8ade8c902dc,2000_AGRICULTURE-STUDENTS-COMPUTER-SKILLS-AND-ELECTRONIC-EXAMS.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_3bdb85ff7f50,2000_AN-EVALUATION-OF-A-DISTANCE-EDUCATION-COURSE-DESIGN-FOR-GENERAL-SOILS.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_fd361c5d335f,2000_AN-EXAMINATION-OF-INTEGRATION-OF-ACADEMIC-AND-VOCATIONAL-SUBJECT-MATTER-IN-THE-AQUACULTURE-CLASSROOM.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_aa13dd2facc7,2000_AN-EXAMINATION-OF-SELECTED-PRESERVICE-AGRICULTURAL-TEACHER-EDUCATION-PROGRAMS-IN-THE-UNITED-STATES.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_d9997324c0a4,2000_ARE-OFF-CAMPUS-COURSES-AS-ACADEMICALLY-RIGOROUS-AS-ON-CAMPUS-COURSES-.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_a0b721b9b71a,2000_ASSESSING-ACADEMIC-CHALLENGES-FOR-THEIR-CONTRIBUTION-TO-COGNITIVE-DEVELOPMENT.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_d1be40a867d0,2000_ASSESSING-STUDENT-ATTITUDES-TOWARD-ANIMAL-WELFARE-RESOURCE-USE-AND-FOOD-SAFETY.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_418e8bd27cea,2000_ASSESSING-THE-AQUACULTURE-CURRICULA-IN-THE-NORTHEASTERN-REGION.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
jae_46ce6233ef81,2000_ATTITUDES-OF-ILLINOIS-AGRISCIENCE-STUDENTS-AND-THEIR-PARENTS-TOWARD-AGRICULTURE-AND-AGRICULTURAL-EDUCATION-PROGRAMS.pdf,2000,2000-2004,Route_A_Modern,success,success,success,success,1,1,1,1
