doc_id,source_pdf_path,source_filename,route,year,extract_status,structured_status,embedding_status,metrics_status,extract_method,page_count,error_message,last_stage_run,artifact_version,updated_at
jae_90944b221a70,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_A_Modern/2026.pdf,2026.pdf,Route_A_Modern,2026,pending,success,pending,pending,,,,structured_status,1.0,2026-03-22T11:48:47.071992+00:00
jae_e53ec5d6271f,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/Vol1_1.pdf,Vol1_1.json,Route_B_Legacy,1960,pending,pending,success,success,,,,metrics_status,1.0,2026-03-18T17:31:46.057543+00:00
jae_legacy_1960_56fc71cc4f,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1960/10.5032_jaatea.1960.02001.pdf,10.5032_jaatea.1960.02001.pdf,Route_B_Legacy,1960,pending,pending,pending,pending,,,,,1.0,2026-03-21T12:01:53.524399+00:00
jae_legacy_1960_fe26bb8f7b,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1960/10.5032_jaatea.1960.01001.pdf,10.5032_jaatea.1960.01001.pdf,Route_B_Legacy,1960,pending,pending,pending,pending,,,,,1.0,2026-03-21T12:01:53.524627+00:00
jae_legacy_1960_b741a0c8fb,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1960/10.5032_jaatea.1960.02019.pdf,10.5032_jaatea.1960.02019.pdf,Route_B_Legacy,1960,pending,pending,pending,pending,,,,,1.0,2026-03-21T12:01:53.524652+00:00
jae_legacy_1960_af9a339011,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1960/10.5032_jaatea.1960.02006.pdf,10.5032_jaatea.1960.02006.pdf,Route_B_Legacy,1960,pending,pending,pending,pending,,,,,1.0,2026-03-21T12:01:53.524667+00:00
jae_legacy_1960_30cbebd9aa,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1960/10.5032_jaatea.1960.02026.pdf,10.5032_jaatea.1960.02026.pdf,Route_B_Legacy,1960,pending,pending,pending,pending,,,,,1.0,2026-03-21T12:01:53.524683+00:00
jae_legacy_1960_2224ded235,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1960/10.5032_jaatea.1960.02028.pdf,10.5032_jaatea.1960.02028.pdf,Route_B_Legacy,1960,pending,pending,pending,pending,,,,,1.0,2026-03-21T12:01:53.524695+00:00
jae_legacy_1960_c1efcd299d,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1960/10.5032_jaatea.1960.02022.pdf,10.5032_jaatea.1960.02022.pdf,Route_B_Legacy,1960,pending,pending,pending,pending,,,,,1.0,2026-03-21T12:01:53.524709+00:00
jae_legacy_1960_fc915810a1,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1960/10.5032_jaatea.1960.02021.pdf,10.5032_jaatea.1960.02021.pdf,Route_B_Legacy,1960,pending,pending,pending,pending,,,,,1.0,2026-03-21T12:01:53.524722+00:00
jae_legacy_1960_16f3144961,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1960/10.5032_jaatea.1960.02030.pdf,10.5032_jaatea.1960.02030.pdf,Route_B_Legacy,1960,pending,pending,pending,pending,,,,,1.0,2026-03-21T12:01:53.524733+00:00
jae_legacy_1960_476a6c70ca,/Volumes/Clemons_Data/_Anchors/Research_Data/JAE_Legacy_Audit/data/raw/Route_B_Legacy/1960/10.5032_jaatea.1960.02027.pdf,10.5032_jaatea.1960.02027.pdf,Route_B_Legacy,1960,pending,pending,pending,pending,,,,,1.0,2026-03-21T12:01:53.524744+00:00
